,Meter identifier,Aerial_info,dc_day,dc_month,dc_week,latitude,longitude
7026,M26210,No Aerial,100.0,100.0115741,100.0,-37.681336,175.162518
7027,M66037,No Aerial,100.0,100.0347222,100.0496032,-37.680401,175.160145
7028,M64387,No Aerial,97.91666667,99.30555556,99.25595238,-37.671775,175.14835
7029,M602,Aerial Installed - Enabled,100.0,98.80787037,100.0,-37.577247,174.852087
7030,M9930,Aerial Installed - Enabled,100.0,100.0,100.0,-37.505431,175.319894
7031,M31976,Aerial Installed - Enabled,100.0,98.80787037,100.0,-37.591164,174.817325
7032,M19418,No Aerial,100.0,98.80787037,100.0,-37.591164,174.817325
7033,M21770,Aerial Installed - Enabled,100.0,98.80787037,100.0,-37.582827,174.84055
7034,M14735,No Aerial,100.0,100.0115741,100.0,-37.822953,174.969851
7036,M50207,No Aerial,100.0,100.0231481,100.0,-37.680602,175.134403
7038,M52079,No Aerial,99.65277778,100.0347222,99.90079365,-37.686699,175.119592
7039,M30706,Aerial Installed - Enabled,100.0,100.0115741,100.0,-37.688711,175.115471
7040,M24976,No Aerial,100.0,100.0231481,100.0,-37.68073,175.159636
7041,M54345,No Aerial,100.0,100.0231481,100.0496032,-37.679831,175.160123
7042,M29575,No Aerial,100.0,100.0115741,100.0,-37.66415,175.145678
7043,M56698,No Aerial,100.0,100.0115741,100.0496032,-37.681083,175.159867
7044,M51240,No Aerial,100.0,100.0231481,100.0496032,-37.680743,175.1599
7045,M20952,No Aerial,100.0,100.0231481,100.0496032,-37.680411,175.16026
7046,M41803,No Aerial,100.0,100.0,100.0,-37.67274,175.151528
7047,M18308,No Aerial,100.0,100.0115741,100.0,-37.672346,175.156028
7048,M35277,No Aerial,100.0,100.0,100.0,-37.67612,175.153858
7049,M57131,No Aerial,100.0,98.63425926,93.9484127,-37.41614,175.227586
7051,M54706,No Aerial,100.0,99.375,97.32142857,-37.412916,175.224291
7052,M23470,Aerial Installed - Enabled,100.0,97.46527778,94.54365079,-37.446983,175.24677
7055,M19674,No Aerial,100.0,100.0115741,100.0,-37.802543,175.245005
7056,M18344,No Aerial,100.0,100.0231481,100.0,-37.675188,175.149808
7057,M1884,No Aerial,100.0,100.0115741,100.0496032,-37.677083,175.156195
7058,M25631,No Aerial,100.0,100.0115741,100.0496032,-37.801033,175.244096
7059,M68807,No Aerial,100.0,100.0,100.0,-37.803536,175.243218
7060,M23519,No Aerial,100.0,100.0347222,100.0,-37.801714,175.244711
7061,M21223,No Aerial,100.0,100.0115741,100.0,-37.803458,175.243898
7062,M41922,No Aerial,100.0,100.0,100.0,-37.667346,175.145713
7063,M42618,No Aerial,100.0,100.0115741,100.0,-37.66993,175.154001
7064,M22261,No Aerial,100.0,100.0115741,100.0,-37.667558,175.152185
7065,M54207,No Aerial,100.0,100.0115741,100.0,-37.678237,175.164063
7066,M36986,Aerial Installed - Enabled,100.0,98.80787037,100.0496032,-37.660976,174.96484
7067,M69523,No Aerial,100.0,100.0,100.0,-37.678538,175.160866
7068,M64148,No Aerial,100.0,100.0115741,100.0496032,-37.665815,175.142273
7069,M28211,No Aerial,100.0,100.0231481,100.0,-37.671703,175.14937
7070,M20515,No Aerial,100.0,100.0115741,100.0,-37.669981,175.153856
7071,M6010,No Aerial,99.65277778,100.0,99.95039683,-37.444076,175.07967
7072,M29997,No Aerial,100.0,100.0,100.0,-37.680228,175.147305
7073,M27390,No Aerial,99.65277778,98.85416667,98.75992063,-37.669991,175.143846
7074,M19918,No Aerial,98.61111111,99.18981481,98.36309524,-37.682245,175.14308
7075,M25509,No Aerial,100.0,100.0231481,100.0496032,-37.683161,175.141965
7076,M17744,No Aerial,100.0,100.0115741,100.0496032,-37.680008,175.162043
7077,M49114,No Aerial,100.0,100.0,100.0,-37.675488,175.151606
7078,M32508,No Aerial,100.0,100.0347222,100.0496032,-37.6766,175.154136
7079,M52421,No Aerial,100.0,100.0,100.0,-37.79634,175.243983
7081,M56734,No Aerial,100.0,99.75694444,100.0,-37.585236,175.036813
7082,M21182,No Aerial,100.0,100.0231481,100.0,-37.56575,175.046778
7083,M44308,No Aerial,99.30555556,99.89583333,100.4464286,-37.583203,175.043302
7084,M31578,No Aerial,100.0,99.75694444,100.0,-37.585394,175.040497
7085,M8747,No Aerial,100.0,100.0347222,100.0,-37.66988,175.147108
7086,M55792,No Aerial,100.0,100.0231481,100.0,-37.681161,175.158248
7087,M13173,No Aerial,100.0,100.0,100.0,-37.487876,175.156761
7088,M56418,No Aerial,100.0,99.98842593,100.0,-37.661002,175.143128
7089,M61817,No Aerial,100.0,99.84953704,99.90079365,-37.665823,175.148355
7091,M64595,No Aerial,100.0,98.69212963,100.0,-37.949243,174.810938
7092,M34572,No Aerial,100.0,100.0115741,100.0,-37.665928,175.149461
7093,M11623,No Aerial,99.65277778,99.9537037,99.95039683,-37.896607,174.874855
7094,M48080,No Aerial,100.0,100.0,100.0,-37.563162,175.1667107
7095,M52145,No Aerial,100.0,100.0115741,100.0,-37.821442,175.222047
7096,M33075,No Aerial,100.0,100.0,100.0,-37.82142254,175.2228801
7097,M8420,No Aerial,100.0,100.0,100.0,-37.821158,175.220735
7098,M30301,No Aerial,100.0,100.0115741,100.0496032,-37.79439796,175.2311377
7099,M25689,No Aerial,100.0,100.0,100.0,-37.79354014,175.2308837
7100,M50815,No Aerial,100.0,100.0,100.0,-37.79386624,175.230616
7101,M17634,No Aerial,100.0,100.0,100.0,-37.79407326,175.2314432
7102,M28194,No Aerial,100.0,100.0,100.0,-37.79396981,175.2300361
7103,M10299,No Aerial,100.0,100.0115741,100.0496032,-37.79405776,175.2308046
7104,M7132,No Aerial,100.0,99.98842593,100.0992063,-37.80684463,175.2082968
7105,M19081,No Aerial,100.0,100.0,100.0,-37.78920608,175.2321669
7106,M30486,No Aerial,100.0,100.0,100.0,-37.78943941,175.2323684
7107,M36749,No Aerial,100.0,100.0115741,100.0,-37.78955676,175.2324895
7108,M32066,No Aerial,98.26388889,99.23611111,99.20634921,-37.78960495,175.2317607
7109,M4456,No Aerial,100.0,99.83796296,99.70238095,-37.81993333,175.2226017
7110,M55953,No Aerial,100.0,100.0,100.0,-37.413296,175.150871
7111,M5360,No Aerial,100.0,100.0,100.0,-37.413473,175.151019
7112,M32904,No Aerial,100.0,100.0231481,100.0496032,-37.79268603,175.2336021
7113,M51863,No Aerial,100.0,100.0115741,100.0,-37.79228303,175.2337867
7114,M28164,No Aerial,100.0,100.0115741,100.0496032,-37.7892571,175.231461
7115,M15461,No Aerial,100.0,100.0,100.0,-37.564156,175.164183
7116,M45982,No Aerial,100.0,100.0231481,100.0,-37.81810389,175.2195137
7117,M31686,No Aerial,100.0,100.0,100.0,-37.677051,175.15628
7118,M42520,No Aerial,100.0,100.0115741,100.0,-37.79916796,175.2168394
7119,M19012,No Aerial,100.0,100.0231481,100.0496032,-37.79914119,175.2177513
7120,M10551,No Aerial,97.22222222,96.5625,96.42857143,-37.81910499,175.2089723
7121,M26422,No Aerial,100.0,100.0,100.0,-37.81821453,175.2101053
7122,M55738,No Aerial,100.0,100.0,100.0,-37.82030328,175.2185532
7123,M36823,No Aerial,100.0,100.0231481,100.0,-37.78691724,175.2380049
7124,M9751,No Aerial,100.0,99.98842593,99.95039683,-37.81952386,175.224512
7125,M43044,No Aerial,100.0,100.0,100.0,-37.81900706,175.2244372
7126,M33651,No Aerial,100.0,100.0,100.0,-37.78255671,175.2475826
7127,M59940,No Aerial,100.0,100.0231481,100.0496032,-37.617063,175.192081
7128,M25687,No Aerial,100.0,99.12037037,99.85119048,-37.78609591,175.2416432
7129,M43868,No Aerial,100.0,100.0,100.0,-37.81949573,175.2204286
7130,M29699,No Aerial,100.0,100.0115741,100.0,-37.4037785,175.146663
7131,M5965,No Aerial,100.0,100.0347222,100.0,-37.82879867,175.1872493
7132,M14024,No Aerial,100.0,100.0115741,100.0,-37.83417145,175.1837675
7133,M62002,No Aerial,100.0,98.93518519,100.0,-37.78153316,175.2444648
7134,M48265,No Aerial,100.0,100.0115741,100.0,-37.79434431,175.2305726
7135,M41806,No Aerial,100.0,100.0,100.0,-37.787149,175.230861
7136,M65901,No Aerial,100.0,99.94212963,99.95039683,-37.78662814,175.2316066
7137,M25468,No Aerial,100.0,100.0231481,100.0,-37.79586333,175.2307717
7138,M5621,No Aerial,100.0,100.0,100.0,-37.79659,175.2297233
7139,M55276,No Aerial,100.0,100.0115741,100.0496032,-37.79626667,175.228755
7140,M67064,No Aerial,100.0,100.0,99.95039683,-37.788475,175.2326117
7141,M69538,No Aerial,99.65277778,99.28240741,99.05753968,-37.788635,175.2331117
7142,M30149,No Aerial,100.0,100.0115741,100.0496032,-37.78825833,175.231365
7143,M68434,No Aerial,100.0,100.0,100.0,-37.796365,175.2294617
7144,M29575,Aerial Installed - Enabled,100.0,100.0,100.0992063,-37.656987,175.209909
7145,M9388,No Aerial,100.0,99.98842593,99.95039683,-37.60996602,175.1863033
7146,M29971,No Aerial,100.0,100.0,100.0,-37.68252451,175.1465122
7147,M64316,No Aerial,100.0,100.0,100.0,-37.79197481,175.1638173
7148,M45264,No Aerial,100.0,100.0347222,100.0992063,-37.80863408,175.1321571
7149,M43835,No Aerial,100.0,100.0,100.0,-37.78350983,175.1431282
7150,M53552,No Aerial,98.26388889,99.87268519,99.45436508,-37.69168441,175.1539362
7151,M1938,No Aerial,100.0,99.98842593,100.0,-37.66565952,175.1503902
7152,M65042,No Aerial,100.0,100.0115741,100.0,-37.54826062,175.1364879
7154,M9948,Aerial Installed - Enabled,100.0,99.79166667,100.0496032,-37.6866938,175.3172033
7155,M42661,No Aerial,100.0,99.28240741,100.0,-37.804538,175.242111
7156,M52976,No Aerial,99.30555556,99.87268519,99.85119048,-37.805698,175.242111
7157,M3305,No Aerial,100.0,100.0347222,100.0496032,-37.803359,175.243682
7158,M2788,No Aerial,100.0,100.0115741,100.0,-37.801052,175.242904
7159,M55446,No Aerial,99.65277778,99.58333333,99.8015873,-37.802059,175.242797
7160,M25594,No Aerial,100.0,100.0115741,100.0,-37.794994,175.241911
7161,M63282,No Aerial,100.0,100.0115741,100.0,-37.794676,175.24193
7162,M3578,No Aerial,100.0,100.0231481,100.0,-37.789643,175.236953
7163,M56767,No Aerial,99.65277778,99.23611111,99.90079365,-37.789616,175.236303
7164,M10018,No Aerial,100.0,100.0231481,100.0992063,-37.789225,175.23633
7165,M30090,No Aerial,100.0,100.0,100.0,-37.789269,175.23677
7166,M46740,No Aerial,100.0,99.12037037,99.50396825,-37.789071,175.236481
7167,M66029,No Aerial,100.0,100.0,100.0,-37.789341,175.237182
7168,M8165,No Aerial,100.0,99.87268519,99.8015873,-37.803445,175.241091
7169,M5339,No Aerial,100.0,100.0231481,100.0,-37.803693,175.240397
7170,M48070,No Aerial,100.0,100.0231481,100.0496032,-37.803087,175.240402
7171,M49559,No Aerial,99.30555556,99.91898148,100.0,-37.795753,175.245651
7172,M62146,No Aerial,100.0,100.0231481,100.0,-37.803176,175.243041
7173,M4788,No Aerial,97.22222222,99.24768519,98.90873016,-37.8013,175.243316
7174,M26386,No Aerial,100.0,99.96527778,99.85119048,-37.803432,175.243545
7175,M39093,No Aerial,100.0,100.0347222,99.95039683,-37.597236,175.347381
7176,M66604,No Aerial,100.0,100.0,100.0,-37.789325,175.236663
7177,M15715,No Aerial,100.0,100.0,100.0,-37.79896,175.242995
7178,M10033,No Aerial,100.0,100.0347222,100.0496032,-37.795723,175.245924
7179,M40719,No Aerial,100.0,99.98842593,99.95039683,-37.803134,175.239736
7180,M46227,No Aerial,100.0,100.0,100.0,-37.803829,175.239837
7181,M34488,No Aerial,100.0,100.0115741,100.0,-37.795082,175.234819
7182,M1346,No Aerial,100.0,100.0347222,100.0,-37.799193,175.248558
7183,M27290,No Aerial,99.30555556,99.65277778,99.30555556,-37.796706,175.247938
7184,M37498,No Aerial,100.0,100.0347222,100.0496032,-37.799458,175.247595
7185,M48598,No Aerial,100.0,100.0462963,100.0992063,-37.798815,175.247645
7186,M27674,No Aerial,100.0,100.0231481,100.0496032,-37.799679,175.247455
7187,M16871,No Aerial,100.0,100.0115741,100.0496032,-37.806487,175.240771
7188,M23039,No Aerial,100.0,100.0,100.0,-37.804363,175.244982
7189,M38681,No Aerial,100.0,100.0231481,100.0,-37.551681,175.338226
7190,M13041,No Aerial,100.0,100.0115741,100.0,-37.552089,175.340225
7191,M67405,No Aerial,100.0,100.0347222,100.0,-37.5979,175.347702
7192,M35239,No Aerial,100.0,100.0462963,100.0992063,-37.796546,175.240829
7193,M12536,No Aerial,100.0,100.0115741,100.0,-37.795772,175.240478
7194,M31294,No Aerial,100.0,100.0347222,100.0,-37.795116,175.237936
7195,M15038,No Aerial,100.0,100.0115741,100.0,-37.795825,175.234237
7196,M66943,No Aerial,100.0,100.0231481,100.0496032,-37.795016,175.238181
7197,M8635,No Aerial,99.30555556,99.02777778,99.90079365,-37.795777,175.238964
7198,M61740,No Aerial,99.65277778,99.59490741,99.25595238,-37.797725,175.246154
7199,M53190,No Aerial,100.0,100.0231481,100.0,-37.797748,175.24652
7200,M52771,No Aerial,100.0,100.0115741,100.0,-37.799034,175.246734
7201,M40979,No Aerial,100.0,100.0,100.0,-37.798606,175.247177
7202,M43733,No Aerial,98.26388889,99.6875,99.45436508,-37.799003,175.246322
